courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
RLST241,37273,"FROM TEXT TO SCRIPTURE: CANON, PERFORMANCE, RECEPTION",Religious Studies,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. focusing on the sikh sacred text as a primary example, investigates the intellectual and emotional factors underlying the composition, copying, canonization, and transmission of sacred texts, with attention to issues of production and reception in historical communities. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
RLST290,19304,DIRECTED STUDIES,Religious Studies,"1 to 5 units, research, 3 to 15 hours. prerequisite(s): graduate standing; consent of instructor and graduate advisor. advanced work in a topic or topics appropriate to the student's special interests and needs. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 12 units."
RLST291,19314,INDIVIDUAL STUDY IN COORDINATED AREAS,Religious Studies,"1 to 12 units, individual study, 3 to 36 hours. prerequisite(s): consent of instructor; doctoral standing. program of study designed to advise and assist candidates who are preparing for qualifying examinations. graded satisfactory (s) or no credit (nc). course is repeatable."
RLST292,19323,CONCURRENT STUDIES IN RELIGIOUS STUDIES,Religious Studies,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): concurrent enrollment in a rlst-100 level course; graduate standing; consent of instructor. taken concurrently with a 100-level rlst course, but on an individual basis. devoted to completion of a graduate paper based on research related to the 100-level course. faculty guidance and evaluation is provided throughout the quarter. rlst 190, rlst 193, rlst 195, rlst 197, and rlst 198-i may not be used for this course arrangement. graded satisfactory (s) or no credit (nc). course is repeatable."
RLST297,19332,DIRECTED RESEARCH,Religious Studies,"1 to 6 units, research, 3 to 18 hours. prerequisite(s): consent of instructor; graduate standing individualized research under the sponsorship of specific faculty members. graded satisfactory (s) or no credit (nc). course is repeatable."
RLST299,19336,RESEARCH FOR THE DISSERTATION,Religious Studies,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate standing; satisfactory completion of the ph.d. qualifying examination. research, under the direction of a faculty member, for preparation of the thesis or dissertation. graded satisfactory (s) or no credit (nc). course is repeatable."
RLST302,19345,TEACHING PRACTICUM,Religious Studies,"1 to 4 units, practicum, 3 to 12 hours. prerequisite(s): appointment as a teaching assistant; graduate standing. supervised teaching in lower- and upper-division religious studies courses. graded satisfactory (s) or no credit (nc). course is repeatable."
RLST401,31079,COLLOQUIUM IN RELIGIOUS STUDIES,Religious Studies,"1 unit, colloquium, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. religious studies research colloquium participation.  graded satisfactory (s) or no credit (nc). course is repeatable as content or topic changes to a maximum of 6 units."
RLST405,37275,CAREERS IN APPLIED RELIGIOUS STUDIES,Religious Studies,"1 unit, seminar, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. introduction to and preparation for career options beyond the professorial track.  graded satisfactory (s) or no credit (nc)."
RUSN001,19360,ELEMENTARY RUSSIAN,Russian Studies,"4 units, lecture, 4 hours. prerequisite(s): none. an introduction to the sound system and grammar of russian, with attention to the development of the four skills of listening, speaking, reading, and writing."
RUSN004,19361,INTERMEDIATE RUSSIAN,Russian Studies,"4 units, lecture, 4 hours. prerequisite(s): rusn 003 with a grade of ""c-"" or better. a comprehensive review of the basic grammatical structures of russian. includes irregular and idiomatic forms, vocabulary building, and development of conversation and composition skills."
RUSN190,33127,SPECIAL STUDIES,Russian Studies,"1 to 5 units, to be taken with the consent of the chairman of the department as a means of meeting special curricular problems. course is repeatable."
MDCL230,34954,INTRODUCTION TO PRIME PROGRAM,School of Medicine,"1 unit, lecture, 3 hours; discussion, 2 hours. prerequisite(s): restricted to major(s) medicine, medicine-prime; and consent of instructor. introduces prime candidates to the overall expectations and requirements of the program. course duration is two weeks. pass/fail"
MDCL231,22233,FOUNDATIONS OF MEDICINE I,School of Medicine,"10.5 units, lecture, 67.5 hours per quarter; discussion, 30 hours per quarter; laboratory, 20.5 hours per quarter; clinic, 15 hours per quarter. prerequisite(s): restricted to major(s) medicine, medicine-prime. covers basic principles of disease processes, genetics, and molecular, cellular, and development biology. instruction is driven by cases and accomplished through lectures and discovery in small group discussions, laboratories, and conferences. also covers aspects of anatomy, doctoring, case-based learning, patient examination, and the longitudinal ambulatory clinical experience. graded in progress (ip) until mdcl 231, mdcl 232, mdcl 233, mdcl 234 and mdcl 235 are completed, at which time a final grade is assigned."
MDCL232,22239,"CARDIOVASCULAR, RENAL AND RESPIRATORY SCIENCES I",School of Medicine,"17.5 units, lecture, 113 hours per quarter; discussion, 45 hours per quarter; laboratory, 28 hours per quarter; clinic, 36 hours per quarter. prerequisite(s): restricted to major(s) medicine, medicine-prime. covers physiology, pathophysiology, physical diagnosis and imaging in the cardiovascular, renal and respiratory sciences. instruction is driven by cases and accomplished through lectures and discovery in small group discussions, laboratories, and conferences. also covers aspects of anatomy, doctoring, case-based learning, patient examination, and the longitudinal ambulatory clinical experience. graded in progress (ip) until mdcl 231, mdcl 232, mdcl 233, mdcl 234 and mdcl 235 are completed, at which time a final grade is assigned."
MDCL236,22236,FOUNDATIONS OF MEDICINE 2,School of Medicine,"14 units, lecture, 97 hours per quarter; discussion, 28 hours per quarter; laboratory, 10 hours per quarter; clinic, 42 hours per quarter. prerequisite(s):  restricted to major(s) medicine, medicine-prime;  and consent of instructor. covers pathophysiology, pharmacology, physical diagnosis & treatment of infectious diseases, clinical hematology, oncology, epidemiology & clinical reasoning skills. utilizes weekly cases presented through lecture, small group discussion & laboratories. also covers aspects of anatomy, doctoring, patient examination & lace. includes case-based learning.    graded in progress (ip) until mdcl 236, mdcl 237, mdcl 238, mdcl 239 and mdcl 240 are completed, at which time a final grade of pass is assigned.   credit is awarded for one of the following  mdcl 236 or bmsc 236."
MDCL237,25618,"CARDIO, RENAL & RESP SCIENCES 2",School of Medicine,"12 units, lecture, 62 hours per quarter; discussion, 44 hours per quarter; laboratory, 36 hours per quarter; clinic, 33 hours per quarter. prerequisite(s): restricted to major(s) medicine, medicine-prime; and consent of instructor. advanced clinical perspective of anatomy, physiology, pathophysiology, physical diagnosis & imaging in the cardiovascular, renal & respiratory sciences. utilizes weekly cases presented through lecture, small group discussions, laboratories & conferences. also covers aspects of anatomy, doctoring, patient examination & lace. includes problem-based learning. graded in progress (ip) until mdcl 236, mdcl 237, mdcl 238, mdcl 239 and mdcl 240 are completed, at which time a final grade is assigned."
MDCL241,38538,INTERNAL MEDICINE,School of Medicine,"10 units, clinic, 40 hours. prerequisite(s):  restricted to department(s) school of medicine;  restricted to major(s) medicine, medicine-prime;  and consent of instructor. third year required clerkship in internal medicine.  pass/fail/honors"
MDCL242,38539,SURGERY,School of Medicine,"10 units, clinic, 40 hours. prerequisite(s):  restricted to department(s) school of medicine;  restricted to major(s) medicine, medicine-prime;  and consent of instructor. third year required clerkship in surgery.  pass/fail/honors"
MDCL243,38540,PEDIATRICS,School of Medicine,"8 units, clinic, 40 hours. prerequisite(s):  restricted to department(s) school of medicine;  restricted to major(s) medicine, medicine-prime;  and consent of instructor. third year required clerkship in pediatrics.  pass/fail/honors"
